"Cache ID",GC-code,"Cache name",Type,Size,Difficulty,Terrain,Latitude,Longitude,"Corrected latitude","Corrected longitude","Elevation (m)",Hidden,"Last publish date",Country,Region,County,Archived,Locked,Disabled,Premium,"Last find date","Last archive date",Finds,"Latest logs",FP,FP%,FPW,"Placed by","Added by","Added at","Source page","Source link",Owner,Found,"Usernote 1","Usernote 2","Usernote 3","Usernote 4","Usernote 5"
7755976,GC8V4GP,"čučoriedky 1506","Traditional Cache",Small,2.0,2.0,"N 48° 43.504","E 020° 58.585",,,556,2020-06-16,2020-06-17,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-03-09,,32,127,0,0.000000,0.000000,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,,,,,,
7760609,GC8V9B5,"Stromy mesta","Unknown Cache",Other,4.5,1.5,"N 48° 43.300","E 021° 17.200","N 48° 43.963","E 021° 17.322",290,2020-06-19,2020-06-20,Slovakia,"Košický kraj","Košice IV",0,0,0,1,2023-12-22,,62,111,21,40.384600,28.159535,"Dalibor a Dominika",tsk88,"2024-03-22 13:43:42",,,"Dalibor a Dominika",1,,,,,
7761233,GC8VA09,"Sedlo Besná - Čergov","Traditional Cache",Small,1.5,2.0,"N 49° 09.839","E 021° 07.777",,,938,2020-10-02,2020-10-03,Slovakia,"Prešovský kraj",Sabinov,0,0,0,0,2024-01-13,,67,127,0,0.000000,0.000000,B.E.P.E,tsk88,"2024-03-22 13:45:16",,,B.E.P.E,,,,,,
7761410,GC8VA60,"*06 R / Cardio Zone","Traditional Cache",Micro,1.5,2.0,"N 48° 56.441","E 021° 01.184",,,684,2020-06-19,2020-06-20,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-02-06,,61,127,0,0.000000,0.000000,hardstyle_007,tsk88,"2024-03-22 13:45:06",,,hardstyle_007,,,,,,
7767207,GC8VG70,"Zemné Hradisko 334 m.n.m.","Traditional Cache",Other,3.0,2.5,"N 48° 36.217","E 020° 48.839",,,290,2020-08-20,2020-08-25,Slovakia,"Košický kraj","Košice - okolie",0,0,0,1,2024-03-09,,28,127,13,54.166700,35.074554,billesik,tsk88,"2024-03-22 13:43:42",,,billesik,,,,,,
7768114,GC8VH58,"*08 R / ROZUM vs INTUÍCIA","Traditional Cache",Regular,4.0,3.5,"N 48° 56.373","E 021° 00.634",,,788,2020-06-23,2020-06-23,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-02-06,,58,127,25,60.975600,45.726584,hardstyle_007,tsk88,"2024-03-22 13:45:06",,,hardstyle_007,,,,,,
7769902,GC8VK0Y,"Termálna voda pod Tatrami",Earthcache,Other,2.0,1.0,"N 49° 03.639","E 020° 18.462",,,669,2020-06-24,2020-06-28,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2024-03-14,,165,127,7,5.468800,2.673986,Vyžla_team,tsk88,"2024-03-22 13:45:16",,,Jaksapatrí,,,,,,
7770209,GC8VKAV,"*09 R / MEDVEDIAK","Traditional Cache",Small,2.0,2.0,"N 48° 56.247","E 021° 00.360",,,780,2020-06-24,2020-06-25,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-02-06,,56,127,0,0.000000,0.000000,hardstyle_007,tsk88,"2024-03-22 13:45:06",,,hardstyle_007,,,,,,
7773007,GC8VP83,"#6. Veľký Slavkov  (Podtatranské obce )","Traditional Cache",Other,1.5,1.5,"N 49° 05.763","E 020° 16.274",,,693,2020-06-27,2020-06-27,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2024-03-17,,123,127,2,2.898600,0.798504,MarMonPP,tsk88,"2024-03-22 13:45:16",,,MarMonPP,,,,,,
7773462,GC8VPPR,"Výhľad nad Družstevnou","Traditional Cache",Small,2.0,2.5,"N 48° 48.592","E 021° 15.477",,,317,2020-06-27,2020-06-28,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-10-03,,38,127,17,56.666700,39.197010,billesik,tsk88,"2024-03-22 13:43:42",,,billesik,,,,,,
